Iteration,Timestamp,State,Action,Operator,Reward,QValueBefore,QValueAfter,Epsilon,BestObjective,CurrentObjective,QTableSize,AvgQValue,MaxQValue,MinQValue
1,2025-12-07 22:09:27.885,12,3,2opt,3.408506,0.000000,0.340851,1.000000,29953.40,29953.40,7,0.048693,0.340851,0.000000
2,2025-12-07 22:09:28.269,12,1,insert,1.146187,0.000000,0.114619,0.999500,29610.08,29610.08,8,0.056934,0.340851,0.000000
3,2025-12-07 22:09:28.431,9,3,2opt,0.703072,0.000000,0.070307,0.999000,29401.90,29401.90,8,0.065722,0.340851,0.000000
4,2025-12-07 22:09:28.598,9,4,oropt,0.691292,0.000000,0.075457,0.998501,29198.65,29198.65,8,0.075154,0.340851,0.000000
5,2025-12-07 22:09:28.784,9,1,insert,0.645780,0.000000,0.071369,0.998001,29010.09,29010.09,8,0.084075,0.340851,0.000000
6,2025-12-07 22:09:28.949,9,1,insert,0.649157,0.071369,0.135939,0.997502,28821.77,28821.77,8,0.092147,0.340851,0.000000
7,2025-12-07 22:09:29.099,9,1,insert,0.537884,0.135939,0.188368,0.997004,28666.74,28666.74,8,0.098700,0.340851,0.000000
8,2025-12-07 22:09:29.241,9,0,swap,0.534170,0.000000,0.070370,0.996505,28513.61,28513.61,8,0.107496,0.340851,0.000000
9,2025-12-07 22:09:29.364,9,3,2opt,0.897214,0.070307,0.169951,0.996007,28257.78,28257.78,8,0.119952,0.340851,0.000000
10,2025-12-07 22:09:29.450,9,0,swap,0.242912,0.070370,0.104577,0.995509,28189.14,28189.14,8,0.124228,0.340851,0.000000
11,2025-12-07 22:09:29.576,9,4,oropt,0.622706,0.075457,0.147135,0.995011,28013.60,28013.60,8,0.133188,0.340851,0.000000
12,2025-12-07 22:09:29.711,9,3,2opt,0.484898,0.169951,0.218399,0.994514,27877.77,27877.77,8,0.139244,0.340851,0.000000
13,2025-12-07 22:09:29.843,9,4,oropt,0.637903,0.147135,0.215868,0.994016,27699.93,27699.93,8,0.147835,0.340851,0.000000
14,2025-12-07 22:09:29.985,9,5,cross,0.394865,0.000000,0.059142,0.993519,27590.56,27590.56,8,0.155228,0.340851,0.000000
15,2025-12-07 22:09:30.153,9,3,2opt,0.399423,0.218399,0.256157,0.993023,27480.35,27480.35,8,0.159948,0.340851,0.000000
16,2025-12-07 22:09:30.252,9,0,swap,0.008191,0.104577,0.117993,0.992526,27478.10,27478.10,8,0.161625,0.340851,0.000000
17,2025-12-07 22:09:30.385,9,3,2opt,0.370285,0.256157,0.290624,0.992030,27376.35,27376.35,8,0.165933,0.340851,0.000000
18,2025-12-07 22:09:30.503,9,0,swap,-0.038542,0.117993,0.128496,0.991534,27376.35,27386.91,8,0.167246,0.340851,0.000000
19,2025-12-07 22:09:30.687,9,4,oropt,0.242959,0.215868,0.244733,0.991038,27320.37,27320.37,8,0.170854,0.340851,0.000000
20,2025-12-07 22:09:30.822,9,2,invert,0.301407,0.000000,0.056297,0.990543,27238.02,27238.02,8,0.177891,0.340851,0.056297
21,2025-12-07 22:09:30.991,9,0,swap,0.000000,0.128496,0.141802,0.990047,27238.02,27238.02,8,0.179554,0.340851,0.056297
22,2025-12-07 22:09:31.072,9,4,oropt,0.196428,0.244733,0.266059,0.989552,27184.52,27184.52,8,0.182220,0.340851,0.056297
23,2025-12-07 22:09:31.235,9,0,swap,0.301574,0.141802,0.183936,0.989058,27102.54,27102.54,8,0.187487,0.340851,0.056297
24,2025-12-07 22:09:31.398,9,4,oropt,0.369844,0.266059,0.302593,0.988563,27002.30,27002.30,8,0.192054,0.340851,0.056297
25,2025-12-07 22:09:31.551,9,3,2opt,0.292802,0.290624,0.318075,0.988069,26923.24,26923.24,8,0.195485,0.340851,0.056297
26,2025-12-07 22:09:31.676,9,0,swap,-0.210178,0.183936,0.173151,0.987575,26923.24,26979.82,8,0.194137,0.340851,0.056297
27,2025-12-07 22:09:31.798,9,3,2opt,0.336553,0.318075,0.348550,0.987081,26889.02,26889.02,8,0.197946,0.348550,0.056297
28,2025-12-07 22:09:31.970,9,2,invert,0.000000,0.056297,0.082037,0.986587,26889.02,26889.02,8,0.201164,0.348550,0.059142
29,2025-12-07 22:09:32.130,9,3,2opt,0.000000,0.348550,0.345064,0.986094,26889.02,26889.02,8,0.200728,0.345064,0.059142
30,2025-12-07 22:09:32.329,9,0,swap,0.000000,0.173151,0.186892,0.985601,26889.02,26889.02,8,0.202446,0.345064,0.059142
31,2025-12-07 22:09:32.519,9,1,insert,0.681655,0.188368,0.268752,0.985108,26705.73,26705.73,8,0.212494,0.345064,0.059142
32,2025-12-07 22:09:32.655,9,4,oropt,0.366458,0.302593,0.340036,0.984616,26607.87,26607.87,8,0.217174,0.345064,0.059142
33,2025-12-07 22:09:32.802,9,2,invert,0.259918,0.082037,0.130881,0.984123,26538.71,26538.71,8,0.223280,0.345064,0.059142
34,2025-12-07 22:09:32.951,9,4,oropt,0.000000,0.340036,0.337088,0.983631,26538.71,26538.71,8,0.222911,0.345064,0.059142
35,2025-12-07 22:09:33.103,9,3,2opt,0.244054,0.345064,0.366019,0.983140,26473.94,26473.94,8,0.225530,0.366019,0.059142
36,2025-12-07 22:09:33.218,9,0,swap,0.000000,0.186892,0.201144,0.982648,26473.94,26473.94,8,0.227312,0.366019,0.059142
37,2025-12-07 22:09:33.375,9,0,swap,0.322909,0.201144,0.246262,0.982157,26388.45,26388.45,8,0.232952,0.366019,0.059142
