State,Action,Operator,QValue
9,0,swap,0.319941
9,1,insert,0.309117
9,2,invert,0.218638
9,3,2opt,0.365563
9,4,oropt,0.385723
9,5,cross,0.230236
10,0,swap,0.002188
10,1,insert,0.003252
10,2,invert,0.002770
10,3,2opt,0.003710
10,4,oropt,0.003241
10,5,cross,0.004460
11,0,swap,0.166756
11,1,insert,0.165761
11,2,invert,0.115700
11,3,2opt,0.117164
11,4,oropt,0.124429
11,5,cross,0.255709
12,1,insert,0.114619
12,3,2opt,0.340851
14,0,swap,3.547302
14,1,insert,-2.512170
14,2,invert,2.741764
14,3,2opt,2.943786
14,4,oropt,2.876210
14,5,cross,2.238697
