ScenarioId;Filename;Iterations;TabuSize;MutationType;UseRL;Repeat;Seed;GreedyObjective;GreedyTotalCost;GreedyTotalPenalty;GreedyTotalVehicleOperationTime;Objective;TotalCost;TotalPenalty;TotalVehicleOperationTime;RoutesCount;DurationMs;GTR
0;pliki//100 lokacji//C201.txt;200;50;RL;True;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;19264.36159298619;2177.5933753673467;5201.40109925776;11885.367118361088;26;300077.0084;0,86,84,88,0,0,16,19,28,26,0,0,21,90,79,78,77,0,0,54,56,53,0,0,72,61,64,66,69,0,0,96,70,73,81,0,0,5,75,0,0,35,37,38,36,34,0,0,15,12,14,0,0,42,46,44,57,0,0,22,24,2,1,99,100,0,0,8,10,13,17,0,0,39,23,18,3,4,91,0,0,41,31,50,55,80,82,83,0,0,45,60,58,59,40,0,0,27,29,30,0,0,97,92,94,98,0,0,43,51,52,47,0,0,87,95,7,89,0,0,20,93,0,0,11,9,25,0,0,71,76,85,0,0,67,62,74,0,0,6,32,33,0,0,63,0,0,48,68,65,49,0
1;pliki//100 lokacji//C201.txt;200;50;RL;True;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;17946.533982709636;2033.9641636988213;4465.128681451174;11447.441137559641;25;300086.3468;0,59,58,54,0,0,80,76,71,73,70,79,0,0,43,55,53,56,0,0,20,24,27,30,29,0,0,87,77,81,96,0,0,7,98,3,89,0,0,31,35,38,39,0,0,6,32,33,36,0,0,52,57,40,46,0,0,67,62,74,0,0,21,50,47,42,41,48,0,0,78,85,82,84,0,0,9,19,14,12,17,11,0,0,90,95,91,4,0,0,60,37,34,28,0,0,5,75,2,1,0,0,45,44,51,0,0,99,100,97,92,94,0,0,8,13,10,0,0,15,18,26,23,0,0,72,61,64,69,66,49,65,68,0,0,86,83,88,16,0,0,93,0,0,22,25,0,0,63,0
2;pliki//100 lokacji//C201.txt;200;50;RL;True;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;19307.026296679498;2187.879238622856;5309.678381275002;11809.46867678164;24;300197.9687;0,67,63,62,72,61,64,0,0,48,52,47,41,96,87,11,0,0,66,69,65,49,55,36,28,0,0,75,2,1,99,0,0,24,27,56,53,68,0,0,40,57,59,44,45,43,0,0,80,79,84,82,86,83,0,0,9,15,14,12,10,0,0,91,58,60,26,19,0,0,3,7,4,54,0,0,73,70,71,76,85,0,0,30,29,6,32,0,0,89,100,92,97,0,0,35,37,38,39,23,0,0,34,33,31,0,0,77,81,78,0,0,95,94,98,0,0,90,88,0,0,42,46,51,50,0,0,20,22,21,8,0,0,74,0,0,25,13,0,0,93,5,0,0,17,18,16,0
3;pliki//100 lokacji//C201.txt;200;50;RL;True;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;19675.387715602687;2111.2195775774107;5640.84002823694;11923.328109788337;24;300099.0462;0,20,22,24,27,30,0,0,67,62,74,0,0,1,99,97,100,0,0,21,41,48,8,10,87,0,0,68,69,37,39,36,0,0,64,66,92,94,4,65,0,0,11,15,13,0,0,47,46,79,73,81,96,0,0,29,6,32,0,0,34,28,26,23,0,0,82,84,88,91,0,0,77,78,76,70,0,0,86,83,85,71,80,0,0,3,90,58,60,59,40,0,0,14,16,12,0,0,93,0,0,72,61,49,55,57,44,0,0,5,75,2,9,0,0,17,18,19,25,0,0,98,95,7,89,0,0,43,50,51,45,52,42,0,0,33,38,35,31,0,0,54,53,56,0,0,63,0
4;pliki//100 lokacji//C201.txt;200;50;RL;True;1;11042;25105.267586349037;3364.604319548486;8972.87447747812;12767.788789322432;19162.485188584957;1979.775107481006;5502.704782549346;11680.005298554606;24;300158.1473;0,93,5,75,0,0,20,22,2,1,0,0,21,25,11,10,0,0,87,77,96,90,8,0,0,35,38,37,34,0,0,41,42,43,48,0,0,28,36,39,4,89,91,0,0,47,45,51,52,0,0,62,72,61,0,0,24,27,30,29,6,33,0,0,81,70,79,80,0,0,17,13,18,9,0,0,78,85,73,71,76,0,0,67,64,74,0,0,66,68,65,49,40,44,46,0,0,95,94,98,3,7,0,0,82,83,84,88,0,0,59,56,53,58,60,0,0,19,23,26,16,0,0,14,15,12,0,0,69,50,32,31,0,0,54,55,57,0,0,99,100,97,92,86,0,0,63,0
5;pliki//100 lokacji//C201.txt;200;50;RL;True;1;12042;21732.407600313243;3028.104063803246;6284.704269080685;12419.599267429312;17754.599942226007;1931.4377196101022;4275.34705507668;11547.815167539226;23;300004.4135;0,97,100,92,94,3,0,0,74,72,61,64,66,0,0,20,27,30,29,32,6,0,0,68,65,49,55,54,53,0,0,78,71,76,73,70,80,0,0,43,91,82,83,86,87,90,0,0,36,38,39,28,26,0,0,21,48,47,9,11,8,0,0,13,17,14,12,10,0,0,75,2,1,99,89,0,0,40,58,60,56,0,0,77,81,79,96,0,0,95,98,4,7,0,0,93,5,16,0,0,25,19,18,23,0,0,33,35,37,31,0,0,85,84,88,0,0,44,59,57,41,0,0,42,46,45,51,50,52,0,0,15,34,0,0,67,69,0,0,63,62,0,0,22,24,0
6;pliki//100 lokacji//C201.txt;200;50;RL;True;1;13042;23608.942151741856;3239.1505357446813;7544.821216221448;12824.970399775728;19693.29422978698;2154.29961336795;5688.144883134373;11850.849733284656;25;304940.585;0,63,0,0,93,0,0,55,54,64,66,0,0,5,75,2,1,0,0,41,42,50,43,90,11,10,0,0,69,68,35,37,38,0,0,29,34,33,49,65,0,0,9,15,13,0,0,40,86,83,85,51,52,0,0,87,78,77,79,81,0,0,17,19,16,14,12,0,0,76,71,70,73,80,0,0,88,84,82,0,0,18,26,23,45,47,0,0,21,98,3,89,91,0,0,96,53,56,59,0,0,57,46,0,0,6,32,31,0,0,67,62,74,72,61,0,0,4,95,7,0,0,99,100,97,92,94,0,0,22,30,28,39,36,0,0,20,24,27,0,0,8,25,0,0,48,44,58,60,0
7;pliki//100 lokacji//C201.txt;200;50;RL;True;1;14042;22760.997484492957;3417.9605743245925;6461.641552304325;12881.39535786404;18750.328390057966;2107.025160401258;4947.535211977101;11695.768017679608;25;300107.8733;0,39,34,36,28,26,0,0,65,57,59,54,55,0,0,77,70,78,81,0,0,18,17,16,19,0,0,30,23,6,32,69,0,0,10,14,15,12,0,0,22,24,27,29,0,0,68,45,51,33,0,0,31,35,37,38,0,0,58,53,91,0,0,89,95,94,98,0,0,44,56,60,40,46,0,0,92,88,7,3,4,0,0,1,99,100,97,0,0,71,73,76,85,84,0,0,43,50,52,47,48,41,0,0,87,79,80,96,0,0,9,11,8,21,0,0,90,13,25,42,0,0,74,72,49,61,64,66,0,0,20,0,0,5,75,2,0,0,82,83,86,0,0,93,0,0,67,63,62,0
8;pliki//100 lokacji//C201.txt;200;50;RL;True;1;15042;22042.782523668182;3365.728873697731;6021.657968774782;12655.39568119567;19078.079293117346;2078.4084079971353;5287.395477211045;11712.275407909165;24;300172.6179;0,93,7,95,1,0,0,33,39,35,31,0,0,11,12,13,9,0,0,90,98,4,91,28,26,0,0,17,18,15,0,0,87,86,88,0,0,68,69,37,38,36,34,0,0,42,50,51,85,0,0,30,29,6,32,52,47,0,0,43,55,60,53,58,0,0,21,23,19,16,14,0,0,56,54,0,0,82,70,73,71,76,0,0,45,40,59,44,46,41,0,0,78,81,79,80,0,0,99,100,97,94,0,0,3,92,84,83,77,96,89,0,0,5,75,2,0,0,22,24,27,0,0,20,0,0,63,66,0,0,48,25,10,8,0,0,65,57,49,0,0,67,62,74,72,61,64,0
9;pliki//100 lokacji//C201.txt;200;50;RL;True;1;16042;21595.720746379524;3262.5138858903347;5786.32943636987;12546.87742411932;18727.75178709448;2078.714453813498;4901.152109138483;11747.8852241425;24;300122.4372;0,11,13,10,21,0,0,5,75,2,1,100,0,0,57,72,61,64,66,0,0,87,81,43,48,0,0,77,52,47,42,80,96,90,0,0,63,0,0,69,65,68,55,54,0,0,91,88,86,84,0,0,8,9,25,0,0,23,28,50,58,59,0,0,7,98,3,89,4,0,0,40,60,44,46,45,51,0,0,17,15,12,0,0,38,39,36,34,0,0,33,31,35,37,0,0,99,97,94,92,95,0,0,26,19,18,16,14,0,0,79,76,71,70,73,0,0,20,22,24,0,0,49,53,56,41,0,0,27,30,29,32,6,0,0,78,85,82,83,0,0,67,62,74,0,0,93,0
