ScenarioId;Filename;Iterations;TabuSize;MutationType;UseRL;Repeat;Seed;GreedyObjective;GreedyTotalCost;GreedyTotalPenalty;GreedyTotalVehicleOperationTime;Objective;TotalCost;TotalPenalty;TotalVehicleOperationTime;RoutesCount;DurationMs;GTR
0;pliki//100 lokacji//C201.txt;200;50;swap;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;19935.885670649383;2092.068974311657;6094.374472803052;11749.442223534676;28;300075.5721;0,86,84,83,90,0,0,45,60,59,0,0,43,55,56,53,58,0,0,9,13,0,0,71,76,73,70,80,0,0,69,65,54,49,0,0,93,0,0,74,72,61,64,66,0,0,67,62,79,81,96,0,0,15,16,14,0,0,42,46,68,0,0,27,29,30,0,0,89,7,3,4,88,0,0,17,34,28,26,23,0,0,48,31,35,38,36,0,0,91,94,92,82,85,0,0,2,1,99,98,0,0,22,24,0,0,6,32,33,0,0,21,11,10,8,0,0,20,52,50,0,0,95,100,97,0,0,41,57,40,44,51,47,0,0,25,19,18,12,0,0,63,0,0,87,77,78,0,0,39,37,0,0,5,75,0
0;pliki//100 lokacji//C201.txt;200;50;invert;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;22;300047.3836;0,93,20,27,30,61,0,0,67,63,62,0,0,22,24,2,1,99,100,0,0,5,75,74,72,0,0,48,47,10,11,8,21,90,0,0,69,65,49,55,56,53,0,0,43,79,77,78,87,96,0,0,66,31,68,37,38,0,0,41,0,0,42,52,25,17,0,0,29,32,92,98,0,0,89,88,83,40,44,51,76,80,0,0,64,97,94,95,0,0,45,13,14,16,0,0,91,84,57,59,50,0,0,9,73,70,81,0,0,6,33,34,35,0,0,4,26,23,18,12,19,3,0,0,46,15,71,0,0,86,82,85,60,0,0,7,36,58,39,0,0,28,54,0
0;pliki//100 lokacji//C201.txt;200;50;insert;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;22;300133.762;0,93,20,27,30,61,0,0,67,63,62,0,0,22,24,2,1,99,100,0,0,5,75,74,72,0,0,48,47,10,11,8,21,90,0,0,69,65,49,55,56,53,0,0,43,79,77,78,87,96,0,0,66,31,68,37,38,0,0,41,0,0,42,52,25,17,0,0,29,32,92,98,0,0,89,88,83,40,44,51,76,80,0,0,64,97,94,95,0,0,45,13,14,16,0,0,91,84,57,59,50,0,0,9,73,70,81,0,0,6,33,34,35,0,0,4,26,23,18,12,19,3,0,0,46,15,71,0,0,86,82,85,60,0,0,7,36,58,39,0,0,28,54,0
0;pliki//100 lokacji//C201.txt;200;50;2opt;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;22;300024.8096;0,93,20,27,30,61,0,0,67,63,62,0,0,22,24,2,1,99,100,0,0,5,75,74,72,0,0,48,47,10,11,8,21,90,0,0,69,65,49,55,56,53,0,0,43,79,77,78,87,96,0,0,66,31,68,37,38,0,0,41,0,0,42,52,25,17,0,0,29,32,92,98,0,0,89,88,83,40,44,51,76,80,0,0,64,97,94,95,0,0,45,13,14,16,0,0,91,84,57,59,50,0,0,9,73,70,81,0,0,6,33,34,35,0,0,4,26,23,18,12,19,3,0,0,46,15,71,0,0,86,82,85,60,0,0,7,36,58,39,0,0,28,54,0
0;pliki//100 lokacji//C201.txt;200;50;oropt;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;22;300106.7127;0,93,20,27,30,61,0,0,67,63,62,0,0,22,24,2,1,99,100,0,0,5,75,74,72,0,0,48,47,10,11,8,21,90,0,0,69,65,49,55,56,53,0,0,43,79,77,78,87,96,0,0,66,31,68,37,38,0,0,41,0,0,42,52,25,17,0,0,29,32,92,98,0,0,89,88,83,40,44,51,76,80,0,0,64,97,94,95,0,0,45,13,14,16,0,0,91,84,57,59,50,0,0,9,73,70,81,0,0,6,33,34,35,0,0,4,26,23,18,12,19,3,0,0,46,15,71,0,0,86,82,85,60,0,0,7,36,58,39,0,0,28,54,0
0;pliki//100 lokacji//C201.txt;200;50;rand;False;1;7042;21324.49329850958;2957.0737663424125;6163.556503965583;12203.863028201582;19728.453805606878;2200.0549412124037;5759.313708498985;11769.08515589549;28;300174.1724;0,24,27,0,0,69,48,29,30,0,0,46,55,45,33,0,0,67,63,62,0,0,80,70,73,81,0,0,90,82,0,0,71,79,76,85,0,0,21,52,47,0,0,50,37,38,36,0,0,6,32,35,31,0,0,59,58,60,42,0,0,43,54,56,53,0,0,93,0,0,61,64,66,0,0,89,3,4,91,17,19,12,0,0,15,16,14,0,0,74,49,72,0,0,13,18,0,0,41,57,40,44,51,0,0,98,95,7,0,0,20,22,0,0,96,78,77,87,0,0,5,75,2,0,0,86,83,88,0,0,8,25,9,11,10,0,0,39,34,28,26,23,0,0,1,99,100,97,68,65,0,0,84,94,92,0
1;pliki//100 lokacji//C201.txt;200;50;swap;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;19371.59358964664;2224.7125204820372;5326.692985950761;11820.188083213841;24;300134.8614;0,99,100,97,92,94,0,0,81,73,77,47,50,48,0,0,69,64,60,58,49,0,0,93,0,0,78,76,70,80,79,96,0,0,68,65,37,38,39,0,0,5,75,4,7,1,61,66,0,0,10,17,13,8,0,0,63,91,2,0,0,22,24,27,30,21,0,0,23,26,88,0,0,87,71,85,11,0,0,67,62,74,72,0,0,90,95,98,3,89,0,0,45,83,16,12,19,0,0,29,34,6,0,0,42,46,59,44,41,0,0,55,54,53,0,0,86,82,84,0,0,43,51,52,0,0,32,33,35,31,0,0,20,18,15,14,9,0,0,36,28,25,0,0,57,56,40,0
1;pliki//100 lokacji//C201.txt;200;50;invert;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;23024.89505588552;2802.863735150582;7822.510068845041;12399.521251889899;23;300061.3577;0,93,75,2,0,0,20,24,27,30,29,64,6,5,0,0,67,62,74,72,83,0,0,22,63,1,61,0,0,25,11,47,50,48,0,0,21,41,8,77,96,0,0,69,68,55,54,49,3,0,0,43,42,81,87,0,0,66,35,31,37,39,52,0,0,10,89,0,0,90,28,19,18,26,59,0,0,45,44,46,0,0,91,86,76,82,84,9,51,0,0,95,65,38,36,0,0,4,79,56,58,40,0,0,78,70,80,0,0,57,60,53,0,0,71,85,88,0,0,100,97,92,94,73,0,0,14,12,7,98,99,0,0,32,33,34,0,0,13,17,23,0,0,15,16,0
1;pliki//100 lokacji//C201.txt;200;50;insert;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;21778.02772753039;2612.758950230263;7015.065416541433;12150.203360758693;23;300013.3819;0,93,75,2,0,0,20,24,27,30,29,6,0,0,67,62,74,72,0,0,50,47,0,0,8,25,0,0,69,61,64,54,49,68,0,0,21,41,43,42,48,0,0,66,35,31,37,39,0,0,63,0,0,89,28,26,19,18,0,0,45,80,81,78,77,0,0,90,84,83,82,76,51,0,0,95,36,38,0,0,4,3,56,58,40,0,0,46,44,59,12,70,0,0,7,88,86,87,91,0,0,13,11,85,96,0,0,98,55,53,60,73,0,0,32,33,92,71,79,0,0,1,99,100,97,94,0,0,34,52,57,65,0,0,5,14,16,17,0,0,22,23,15,9,10,0
1;pliki//100 lokacji//C201.txt;200;50;2opt;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;23365.41492179339;2694.370901937174;8541.831688221915;12129.212331634299;23;300015.6786;0,93,75,2,0,0,20,24,27,30,29,64,6,5,0,0,67,62,74,72,83,0,0,22,1,63,61,0,0,25,11,47,50,48,0,0,21,41,8,77,96,0,0,69,68,55,54,49,3,0,0,43,42,81,87,0,0,66,35,31,37,39,52,0,0,90,89,0,0,10,28,19,18,26,59,0,0,78,76,80,0,0,9,36,38,51,45,65,0,0,91,86,82,84,95,0,0,4,79,56,58,40,0,0,14,12,98,70,0,0,85,71,73,0,0,46,44,0,0,99,100,97,94,7,0,0,13,17,23,34,0,0,32,33,92,88,0,0,57,60,53,0,0,15,16,0
