ScenarioId,Filename,Iterations,TabuSize,MutationType,UseRL,Repeat,Seed,GreedyObjective,GreedyTotalCost,GreedyTotalPenalty,GreedyTotalVehicleOperationTime,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs,GTR,algorithm
0,pliki//100 lokacji//C101.txt,200,50,swap,False,2,7042,15893.915921003092,1294.4721200868219,8984.971680829447,5614.472120086822,14358.81936198932,1271.197817357926,7496.423727273471,5591.197817357925,11,300030.0121,0;98;7;97;84;61;0;0;13;95;10;11;0;0;65;63;0;0;20;83;40;59;51;64;89;91;0;0;43;54;27;30;46;0;0;24;25;8;44;45;0;0;41;19;29;16;14;23;0;0;67;74;0;0;5;18;15;0;0;32;31;37;0;0;90;86;94;92;6;0,TabuSearch
0,pliki//100 lokacji//C101.txt,200,50,swap,False,2,7043,15893.915921003092,1294.4721200868219,8984.971680829447,5614.472120086822,14154.422338424789,1331.669553492903,7171.083231438982,5651.669553492903,11,300006.0205,0;98;16;15;0;0;90;86;74;0;0;5;95;97;0;0;25;31;27;0;0;24;40;10;84;6;64;0;0;13;7;8;11;0;0;43;41;54;44;46;0;0;67;63;0;0;32;18;29;30;0;0;65;94;83;92;14;23;51;0;0;20;19;37;45;61;59;89;91;0,TabuSearch
1,pliki//100 lokacji//C101.txt,200,50,swap,False,2,8042,15297.981810093605,1324.1555224765964,8149.67076514041,5824.155522476598,14229.164562385766,1502.5071287393207,6724.150304907125,6002.507128739321,12,300020.7068,0;5;27;37;29;12;26;51;47;0;0;86;62;73;82;85;0;0;13;7;19;28;0;0;57;54;72;0;0;90;8;44;93;23;0;0;98;95;94;92;0;0;43;76;61;84;88;0;0;20;0;0;33;31;35;0;0;32;41;46;0;0;3;18;83;11;59;68;66;0;0;67;63;0,TabuSearch
1,pliki//100 lokacji//C101.txt,200,50,swap,False,2,8043,15297.981810093605,1324.1555224765964,8149.67076514041,5824.155522476598,14015.174090044977,1521.46388350969,6472.246323025596,6021.463883509689,11,300014.1656,0;43;63;93;0;0;67;41;62;83;73;68;66;0;0;33;8;92;0;0;3;27;29;11;85;12;0;0;5;18;19;72;61;59;51;47;0;0;98;76;37;28;23;26;0;0;13;86;88;0;0;32;7;0;0;57;54;44;0;0;20;31;35;46;0;0;90;95;94;82;84;0,TabuSearch
2,pliki//100 lokacji//C101.txt,200,50,swap,False,2,9042,18197.77667679667,1273.9746952723317,10969.827286252006,5953.974695272333,16204.534497627465,1807.309040912539,7909.916415802387,6487.309040912539,11,300009.5983,0;41;8;10;77;79;64;68;1;0;0;43;25;58;0;0;32;35;11;39;36;0;0;13;17;30;0;0;3;18;53;45;14;51;0;0;20;42;74;0;0;67;63;0;0;90;19;29;37;59;12;4;69;0;0;98;7;97;73;48;0;0;57;54;40;44;0;0;5;86;71;9;85;0,TabuSearch
2,pliki//100 lokacji//C101.txt,200,50,swap,False,2,9043,18197.77667679667,1273.9746952723317,10969.827286252006,5953.974695272333,16217.8732496756,1598.2159704550709,8341.44130876546,6278.21597045507,11,300012.4066,0;98;18;44;45;48;68;69;0;0;32;54;64;0;0;90;29;30;97;14;12;4;0;0;17;41;74;0;0;67;63;0;0;71;8;85;77;79;0;0;20;42;35;73;59;51;1;0;0;43;57;53;58;0;0;13;7;10;0;0;3;25;19;11;9;0;0;5;86;40;37;39;36;0,TabuSearch
3,pliki//100 lokacji//C101.txt,200,50,swap,False,2,10042,20135.49706241284,1383.8536891984713,12597.789684015897,6153.853689198471,17809.253720920457,1579.4490970708262,9880.355526778803,6349.449097070826,11,300015.0006,0;24;16;35;39;0;0;98;8;92;73;68;64;66;0;0;67;63;74;0;0;13;83;10;14;75;0;0;43;27;37;46;0;0;31;41;56;72;0;0;90;54;53;60;0;0;5;86;70;77;51;36;34;0;0;20;18;94;11;9;85;91;4;49;0;0;3;7;84;88;0;0;32;25;0,TabuSearch
3,pliki//100 lokacji//C101.txt,200,50,swap,False,2,10043,20135.49706241284,1383.8536891984713,12597.789684015897,6153.853689198471,17145.238155742474,1644.1580059978303,9086.922143746815,6414.1580059978305,11,300016.782,0;98;35;10;14;39;34;49;0;0;3;7;72;70;73;77;66;0;0;54;41;83;84;9;0;0;43;46;0;0;24;25;27;37;0;0;20;31;56;60;0;0;13;53;85;88;0;0;32;18;92;68;64;0;0;67;86;94;11;51;36;4;91;75;0;0;5;16;8;0;0;90;63;74;0,TabuSearch
4,pliki//100 lokacji//C101.txt,200,50,swap,False,2,11042,19826.00687511043,1161.1696011471624,12373.667672816104,6291.169601147163,17705.217928453923,1775.9904672452346,9023.236993963452,6905.990467245236,11,300018.1985,0;90;7;83;58;80;0;0;94;95;10;11;9;4;26;0;0;24;41;74;70;73;0;0;32;35;53;61;0;0;5;86;8;15;0;0;98;18;29;39;30;48;0;0;13;31;45;46;0;0;57;25;27;0;0;20;17;37;59;79;68;50;52;69;0;0;67;19;44;72;28;36;34;0;0;43;54;62;0,TabuSearch
4,pliki//100 lokacji//C101.txt,200,50,swap,False,2,11043,19826.00687511043,1161.1696011471624,12373.667672816104,6291.169601147163,17690.97251210902,1414.2181147552324,9732.536282598554,6544.218114755234,11,300022.4148,0;5;41;62;74;0;0;43;39;37;34;28;0;0;57;54;53;0;0;95;31;44;46;30;26;0;0;20;24;35;58;45;48;68;50;0;0;13;15;0;0;17;18;19;10;11;9;0;0;90;86;83;72;59;61;79;80;69;0;0;32;25;27;29;0;0;98;7;8;0;0;67;94;70;73;4;36;52;0,TabuSearch
