
File,GurobiCost,ExperimentCost,BeeExperimentCost,gurobi_vs_tabu,mean_gurobi_time[s]
0_C101_13.txt,6651,6651,6651,0,376
1_C101_13.txt,6083,6083,6083,0,376
2_C101_13.txt,5360,5360,5360,0,376
3_C101_13.txt,5952,5952,5952,0,376
4_C101_13.txt,5408,5408,5408,0,376
5_C101_13.txt,7200,7200,7200,0,376
6_C101_13.txt,6166,6166,6166,0,376
7_C101_13.txt,6713,6713,6713,0,376
8_C101_13.txt,7480,7480,7480,0,376
9_C101_13.txt,5556,5556,5556,0,376
10_C101_13.txt,5129,5129,5129,0,376
11_C101_13.txt,6578,6578,6578,0,376
12_C101_13.txt,6550,6550,6550,0,376
13_C101_13.txt,6594,6594,6594,0,376
14_C101_13.txt,6096,6096,6096,0,376
15_C101_13.txt,4492,4492,4492,0,376
16_C101_13.txt,6057,6057,6057,0,376
17_C101_13.txt,7169,7169,7169,0,376
18_C101_13.txt,5973,5973,5973,0,376
19_C101_13.txt,5728,5728,5728,0,376
0_C201_13.txt,27784,27784,27784,0,603
1_C201_13.txt,28836,28836,28836,0,603
2_C201_13.txt,27360,27360,27360,0,603
3_C201_13.txt,28744,28744,28744,0,603
4_C201_13.txt,29968,29968,29968,0,603
5_C201_13.txt,30094,30094,30094,0,603
6_C201_13.txt,27387,27387,27387,0,603
7_C201_13.txt,31563,31563,31563,0,603
8_C201_13.txt,28949,28949,28949,0,603
9_C201_13.txt,27871,27871,27871,0,603
10_C201_13.txt,28824,28824,28824,0,603
11_C201_13.txt,29091,29091,29091,0.0006874978515692138,603
12_C201_13.txt,29417,29417,29417,0,603
13_C201_13.txt,25797,25797,25797,0,603
14_C201_13.txt,25264,25264,25264,0,603
15_C201_13.txt,28704,28704,28704,0,603
16_C201_13.txt,29661,29661,29661,0,603
17_C201_13.txt,29541,29541,29541,0,603
18_C201_13.txt,27933,27933,27933,0,603
19_C201_13.txt,26431,26431,26431,7.56687223336234E-05,603
0_R101_13.txt,1178,1178,1178,0,1
1_R101_13.txt,1044,1044,1044,0,1
2_R101_13.txt,1167,1167,1167,0,1
3_R101_13.txt,1105,1105,1105,0,1
4_R101_13.txt,1199,1199,1199,0,1
5_R101_13.txt,1192,1192,1192,0,1
6_R101_13.txt,1101,1101,1101,0,1
7_R101_13.txt,1128,1128,1128,0,1
8_R101_13.txt,1086,1086,1086,0,1
9_R101_13.txt,1130,1130,1131,0,1
10_R101_13.txt,1090,1090,1090,0,1
11_R101_13.txt,1173,1173,1187,0,1
12_R101_13.txt,1126,1126,1126,0,1
13_R101_13.txt,1137,1137,1137,0,1
14_R101_13.txt,1100,1100,1100,0,1
15_R101_13.txt,969,969,969,0,1
16_R101_13.txt,1077,1077,1077,0,1
17_R101_13.txt,1135,1135,1135,0,1
18_R101_13.txt,1063,1063,1063,0,1
19_R101_13.txt,1145,1145,1145,0,1
0_R201_13.txt,5525,5525,5525,0,604
1_R201_13.txt,5397,5397,5397,0,604
2_R201_13.txt,5111,5111,5111,0,604
3_R201_13.txt,5316,5268,5268,0.009111617312072893,604
4_R201_13.txt,6089,6089,6089,0,604
5_R201_13.txt,5261,5261,5261,0.004942026230754609,604
6_R201_13.txt,5556,5556,5556,0,604
7_R201_13.txt,6640,6608,6608,0.004842615012106538,604
8_R201_13.txt,4842,4842,4842,0,604
9_R201_13.txt,6261,6261,6261,0,604
10_R201_13.txt,5590,5590,5590,0,604
11_R201_13.txt,6265,6265,6265,0,604
12_R201_13.txt,4948,4948,4948,0,604
13_R201_13.txt,5802,5802,5802,0.0018958979662185454,604
14_R201_13.txt,5911,5831,5831,0.013719773623735209,604
15_R201_13.txt,5827,5732,5732,0.016573621772505234,604
16_R201_13.txt,4756,4756,4756,0,604
17_R201_13.txt,5632,5632,5632,0,604
18_R201_13.txt,4705,4705,4705,0.008501594048884165,604
19_R201_13.txt,5322,5322,5322,0,604
0_RC101_13.txt,1335,1335,1335,0,103
1_RC101_13.txt,1176,1176,1188,0,103
2_RC101_13.txt,1313,1313,1313,0,103
3_RC101_13.txt,1184,1184,1184,0,103
4_RC101_13.txt,1314,1314,1314,0,103
5_RC101_13.txt,1240,1240,1240,0,103
6_RC101_13.txt,1307,1307,1307,0,103
7_RC101_13.txt,1392,1392,1392,0,103
8_RC101_13.txt,1196,1196,1196,0,103
9_RC101_13.txt,1325,1325,1325,0,103
10_RC101_13.txt,1416,1416,1416,0,103
11_RC101_13.txt,1375,1375,1375,0,103
12_RC101_13.txt,1248,1248,1248,0,103
13_RC101_13.txt,1274,1274,1274,0,103
14_RC101_13.txt,1363,1363,1363,0,103
15_RC101_13.txt,1320,1320,1320,0,103
16_RC101_13.txt,1177,1177,1177,0,103
17_RC101_13.txt,1316,1316,1316,0,103
18_RC101_13.txt,1203,1203,1203,0,103
19_RC101_13.txt,1048,1048,1048,0,103
0_RC201_13.txt,7472,7472,7472,0,602
1_RC201_13.txt,7327,7327,7327,0,602
2_RC201_13.txt,7344,7344,7344,0,602
3_RC201_13.txt,6550,6550,6550,0.0007633587786259542,602
4_RC201_13.txt,7427,7427,7427,0.0010771509357748754,602
5_RC201_13.txt,6819,6819,6819,0,602
6_RC201_13.txt,7014,7014,7014,0,602
7_RC201_13.txt,7726,7726,7726,0,602
8_RC201_13.txt,7209,7209,7209,0,602
9_RC201_13.txt,6985,6985,6985,0,602
10_RC201_13.txt,7881,7881,7881,0,602
11_RC201_13.txt,7616,7616,7616,0,602
12_RC201_13.txt,6629,6629,6629,0,602
13_RC201_13.txt,6977,6977,6977,0,602
14_RC201_13.txt,7559,7559,7559,0,602
15_RC201_13.txt,7509,7509,7509,0,602
16_RC201_13.txt,6912,6912,6912,0,602
17_RC201_13.txt,7138,7138,7138,0,602
18_RC201_13.txt,7428,7428,7428,0,602
19_RC201_13.txt,6129,6129,6129,0,602
